# generated_at: 2026-05-15T12:15:02Z, dataset_version: v202605151210, source: internetinmyanmar.com/data
asn,isp_name,started_at,ended_at,duration_minutes,min_visibility_pct,resolved
AS136617,FTCL-AS-AP Fortune Telecom Company Limited,2026-04-09T10:04:06Z,2026-04-09T10:32:42Z,28,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-09T11:10:21Z,2026-04-09T11:15:07Z,4,0.0,True
AS135300,MBTCL-AS-AP Myanmar Broadband Telecom Co.,2026-04-09T12:01:56Z,2026-04-09T12:31:18Z,29,0.0,True
AS151783,ERU-AS-AP EASTERN ROYAL UNICOM ERU TECHNOLOGY COMPANY LIMITED,2026-04-09T12:02:28Z,2026-04-09T12:31:32Z,29,0.0,True
AS136210,ITSPECTRUM-AS-AP IT Spectrum Company Limited,2026-04-09T13:01:27Z,2026-04-09T13:31:23Z,29,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-09T13:25:30Z,2026-04-09T13:31:30Z,6,0.0,True
AS136168,CAMPANA-AS-AP Campana MYTHIC Co. Ltd.,2026-04-09T14:04:21Z,2026-04-09T14:32:50Z,28,0.0,True
AS136480,MMUNILINK-AS-AP Myanmar Unilink Communication Company Limited,2026-04-09T14:25:32Z,2026-04-09T14:32:11Z,6,0.0,True
AS136255,TIMCL-AS-AP Telecom International Myanmar Co.,2026-04-09T15:01:48Z,2026-04-09T15:31:28Z,29,0.0,True
AS150285,LMHCC-AS-AP Long Mao Home Center Co.ltd.,2026-04-09T15:02:57Z,2026-04-09T15:32:11Z,29,0.0,True
AS151802,FSAS-AS-MM FIND SOLUTION AND SERVICES CO.,2026-04-09T16:01:58Z,2026-04-09T16:31:53Z,29,0.0,True
AS152140,YSOMCL-AS-AP YAM Success of Myanmar Co.,2026-04-09T17:01:21Z,2026-04-09T17:31:16Z,29,0.0,True
AS138158,SPAL-AS-AP Serge Pun & Associate Myanmar Ltd.,2026-04-09T18:02:42Z,2026-04-09T18:32:35Z,29,0.0,True
AS133433,ZPC-AS-AP ZOOM PLUS COMPANY LIMITED,2026-04-09T19:32:58Z,2026-04-09T20:02:20Z,29,0.0,True
AS138168,APN-AS-AP MyanmarAPN,2026-04-09T20:03:14Z,2026-04-09T20:32:18Z,29,0.0,True
AS138168,APN-AS-AP MyanmarAPN,2026-04-10T06:32:45Z,2026-04-10T07:02:27Z,29,0.0,True
AS132167,U9-MM Nine Communications Company Limited,2026-04-10T08:55:04Z,2026-04-10T09:10:05Z,15,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-10T11:10:19Z,2026-04-10T11:15:08Z,4,0.0,True
AS149038,UCGCL-AS-AP UNIQUE COMM GROUP COMPANY LIMITED,2026-04-10T11:31:04Z,2026-04-10T21:31:07Z,600,0.38,True
AS63852,FMG-MM Myanmar Net,2026-04-10T12:32:24Z,2026-04-10T13:03:07Z,30,0.0,True
AS9988,MPT-AP Myanma Posts and Telecommunications,2026-04-10T12:55:25Z,2026-04-10T13:02:27Z,7,0.0,True
AS135371,FORTUNEINTERNATIONAL-AS-AP Fortune Broadband,2026-04-10T13:02:04Z,2026-04-10T13:31:50Z,29,0.0,True
AS134105,STLMC-AS-AP Shwe Than Lwin Media Co.,2026-04-10T13:33:16Z,2026-04-10T14:03:02Z,29,0.0,True
AS135300,MBTCL-AS-AP Myanmar Broadband Telecom Co.,2026-04-10T15:02:04Z,2026-04-10T15:32:01Z,29,0.0,True
AS134736,NMCL-AS-AP NTT MYANMAR CO.,2026-04-10T15:31:44Z,2026-04-10T16:01:45Z,30,0.0,True
AS149487,MCLOCCL-AS-AP MOC COMPANY LIMITED,2026-04-10T15:34:15Z,2026-04-10T16:04:06Z,29,0.0,True
AS9988,MPT-AP Myanma Posts and Telecommunications,2026-04-10T15:40:37Z,2026-04-10T15:45:18Z,4,0.0,True
AS149855,AS-AGBC AGB Communication Co.,2026-04-10T16:03:23Z,2026-04-10T16:32:30Z,29,0.0,True
AS149521,FLC-AS-AP Fiber Life Internet,2026-04-10T17:01:26Z,2026-04-10T17:31:07Z,29,0.0,True
AS136480,MMUNILINK-AS-AP Myanmar Unilink Communication Company Limited,2026-04-10T17:10:37Z,2026-04-10T17:15:07Z,4,0.0,True
AS150297,GMBECL-AS-AP Golden Myanmar Business Exchange Co. Ltd,2026-04-10T18:02:24Z,2026-04-10T18:32:40Z,30,0.0,True
AS142126,SCSKMYANMARLTD-AS SCSK Myanmar Ltd,2026-04-10T18:02:43Z,2026-04-10T18:32:50Z,30,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-10T18:05:40Z,2026-04-10T18:10:04Z,4,0.0,True
AS137424,ISMC-AS-AP Integral Solutions Myanmar Co.,2026-04-10T19:01:57Z,2026-04-10T19:31:43Z,29,0.0,True
AS150812,MFGCL-AS-AP Myanmar Fortune Global Company Limited,2026-04-10T19:02:47Z,2026-04-10T19:32:06Z,29,0.0,True
AS135589,IMNCL-AS-AP Internet Maekhong Network Company Limited,2026-04-10T19:03:31Z,2026-04-10T19:32:38Z,29,0.0,True
